,Computer Science,Physics,Mathematics,Statistics,Quantitative Biology,Quantitative Finance,ID
0,1,0,0,0,0,0,20973
1,0,1,0,0,0,0,20974
2,1,0,0,0,0,0,20975
3,0,1,0,0,0,0,20976
4,1,0,0,0,0,0,20977
5,0,0,0,1,0,0,20978
6,0,0,1,0,0,0,20979
7,1,0,0,0,0,0,20980
8,1,0,0,0,0,0,20981
9,0,1,0,0,0,0,20982
10,0,1,0,0,0,0,20983
11,1,0,0,0,0,0,20984
12,0,0,1,0,0,0,20985
13,1,0,0,0,0,0,20986
14,1,0,0,0,0,0,20987
15,1,0,0,0,0,0,20988
16,0,1,0,0,0,0,20989
17,1,0,0,0,0,0,20990
18,1,0,0,0,0,0,20991
19,1,0,0,0,0,0,20992
20,1,0,0,0,0,0,20993
21,0,1,0,0,0,0,20994
22,1,0,0,0,0,0,20995
23,1,0,0,0,0,0,20996
24,0,1,0,0,0,0,20997
25,1,0,0,0,0,0,20998
26,1,0,0,0,0,0,20999
27,0,1,0,0,0,0,21000
28,0,1,0,0,0,0,21001
29,1,0,0,0,0,0,21002
30,1,0,0,0,0,0,21003
31,1,0,0,0,0,0,21004
32,0,1,0,0,0,0,21005
33,1,0,0,0,0,0,21006
34,0,0,1,0,0,0,21007
35,1,0,0,0,0,0,21008
36,0,0,1,0,0,0,21009
37,1,0,0,0,0,0,21010
38,0,0,1,0,0,0,21011
39,0,0,1,0,0,0,21012
40,1,0,0,0,0,0,21013
41,0,0,1,0,0,0,21014
42,1,0,0,0,0,0,21015
43,0,1,0,0,0,0,21016
44,1,0,0,0,0,0,21017
45,0,1,0,0,0,0,21018
46,0,0,1,0,0,0,21019
47,1,0,0,0,0,0,21020
48,1,0,0,0,0,0,21021
49,0,1,0,0,0,0,21022
50,0,1,0,0,0,0,21023
51,0,0,1,0,0,0,21024
52,0,1,0,0,0,0,21025
53,1,0,0,0,0,0,21026
54,1,0,0,0,0,0,21027
55,0,0,1,0,0,0,21028
56,1,0,0,0,0,0,21029
57,0,0,1,0,0,0,21030
58,1,0,0,0,0,0,21031
59,1,0,0,0,0,0,21032
60,0,1,0,0,0,0,21033
61,0,0,1,0,0,0,21034
62,1,0,0,0,0,0,21035
63,1,0,0,0,0,0,21036
64,0,0,1,0,0,0,21037
65,1,0,0,0,0,0,21038
66,1,0,0,0,0,0,21039
67,1,0,0,0,0,0,21040
68,1,0,0,0,0,0,21041
69,0,1,0,0,0,0,21042
70,1,0,0,0,0,0,21043
71,0,0,0,0,0,1,21044
72,0,1,0,0,0,0,21045
73,1,0,0,0,0,0,21046
74,0,0,1,0,0,0,21047
75,1,0,0,0,0,0,21048
76,0,0,1,0,0,0,21049
77,0,1,0,0,0,0,21050
78,1,0,0,0,0,0,21051
79,0,0,1,0,0,0,21052
80,0,0,1,0,0,0,21053
81,0,0,1,0,0,0,21054
82,1,0,0,0,0,0,21055
83,1,0,0,0,0,0,21056
84,1,0,0,0,0,0,21057
85,1,0,0,0,0,0,21058
86,1,0,0,0,0,0,21059
87,0,1,0,0,0,0,21060
88,1,0,0,0,0,0,21061
89,0,0,1,0,0,0,21062
90,0,1,0,0,0,0,21063
91,0,1,0,0,0,0,21064
92,1,0,0,0,0,0,21065
93,0,1,0,0,0,0,21066
94,0,0,1,0,0,0,21067
95,0,0,1,0,0,0,21068
96,0,1,0,0,0,0,21069
97,0,0,1,0,0,0,21070
98,0,1,0,0,0,0,21071
99,1,0,0,0,0,0,21072
100,1,0,0,0,0,0,21073
101,1,0,0,0,0,0,21074
102,0,0,0,1,0,0,21075
103,0,1,0,0,0,0,21076
104,0,1,0,0,0,0,21077
105,0,0,0,1,0,0,21078
106,0,0,0,1,0,0,21079
107,0,1,0,0,0,0,21080
108,1,0,0,0,0,0,21081
109,1,0,0,0,0,0,21082
110,0,0,0,1,0,0,21083
111,0,1,0,0,0,0,21084
112,0,0,1,0,0,0,21085
113,0,1,0,0,0,0,21086
114,1,0,0,0,0,0,21087
115,1,0,0,0,0,0,21088
116,1,0,0,0,0,0,21089
117,0,0,1,0,0,0,21090
118,0,1,0,0,0,0,21091
119,1,0,0,0,0,0,21092
120,0,0,1,0,0,0,21093
121,0,1,0,0,0,0,21094
122,0,0,1,0,0,0,21095
123,1,0,0,0,0,0,21096
124,0,1,0,0,0,0,21097
125,0,0,1,0,0,0,21098
126,0,1,0,0,0,0,21099
127,1,0,0,0,0,0,21100
128,1,0,0,0,0,0,21101
129,0,1,0,0,0,0,21102
130,0,0,1,0,0,0,21103
131,0,1,0,0,0,0,21104
132,1,0,0,0,0,0,21105
133,0,1,0,0,0,0,21106
134,0,0,1,0,0,0,21107
135,1,0,0,0,0,0,21108
136,1,0,0,0,0,0,21109
137,0,0,0,0,0,1,21110
138,0,0,1,0,0,0,21111
139,0,1,0,0,0,0,21112
140,0,0,1,0,0,0,21113
141,1,0,0,0,0,0,21114
142,1,0,0,0,0,0,21115
143,1,0,0,0,0,0,21116
144,0,0,1,0,0,0,21117
145,0,1,0,0,0,0,21118
146,1,0,0,0,0,0,21119
147,1,0,0,0,0,0,21120
148,0,1,0,0,0,0,21121
149,1,0,0,0,0,0,21122
150,0,0,1,0,0,0,21123
151,1,0,0,0,0,0,21124
152,1,0,0,0,0,0,21125
153,1,0,0,0,0,0,21126
154,0,0,1,0,0,0,21127
155,0,1,0,0,0,0,21128
156,1,0,0,0,0,0,21129
157,0,1,0,0,0,0,21130
158,1,0,0,0,0,0,21131
159,1,0,0,0,0,0,21132
160,1,0,0,0,0,0,21133
161,0,1,0,0,0,0,21134
162,1,0,0,0,0,0,21135
163,0,1,0,0,0,0,21136
164,0,1,0,0,0,0,21137
165,0,0,0,1,0,0,21138
166,0,0,1,0,0,0,21139
167,0,0,0,1,0,0,21140
168,1,0,0,0,0,0,21141
169,1,0,0,0,0,0,21142
170,1,0,0,0,0,0,21143
171,1,0,0,0,0,0,21144
172,1,0,0,0,0,0,21145
173,1,0,0,0,0,0,21146
174,1,0,0,0,0,0,21147
175,1,0,0,0,0,0,21148
176,0,0,0,1,0,0,21149
177,0,0,0,0,1,0,21150
178,0,0,1,0,0,0,21151
179,1,0,0,0,0,0,21152
180,1,0,0,0,0,0,21153
181,0,0,1,0,0,0,21154
182,0,1,0,0,0,0,21155
183,1,0,0,0,0,0,21156
184,0,1,0,0,0,0,21157
185,0,0,0,1,0,0,21158
186,1,0,0,0,0,0,21159
187,1,0,0,0,0,0,21160
188,0,1,0,0,0,0,21161
189,0,1,0,0,0,0,21162
190,0,1,0,0,0,0,21163
191,1,0,0,0,0,0,21164
192,0,0,1,0,0,0,21165
193,0,0,1,0,0,0,21166
194,0,0,1,0,0,0,21167
195,1,0,0,0,0,0,21168
196,1,0,0,0,0,0,21169
197,0,0,1,0,0,0,21170
198,0,0,1,0,0,0,21171
199,0,0,0,1,0,0,21172
200,0,1,0,0,0,0,21173
201,0,1,0,0,0,0,21174
202,0,1,0,0,0,0,21175
203,1,0,0,0,0,0,21176
204,0,1,0,0,0,0,21177
205,1,0,0,0,0,0,21178
206,0,1,0,0,0,0,21179
207,0,0,1,0,0,0,21180
208,1,0,0,0,0,0,21181
209,1,0,0,0,0,0,21182
210,0,0,1,0,0,0,21183
211,1,0,0,0,0,0,21184
212,0,0,1,0,0,0,21185
213,0,1,0,0,0,0,21186
214,1,0,0,0,0,0,21187
215,0,1,0,0,0,0,21188
216,1,0,0,0,0,0,21189
217,0,0,1,0,0,0,21190
218,1,0,0,0,0,0,21191
219,0,0,1,0,0,0,21192
220,1,0,0,0,0,0,21193
221,1,0,0,0,0,0,21194
222,1,0,0,0,0,0,21195
223,0,1,0,0,0,0,21196
224,0,1,0,0,0,0,21197
225,1,0,0,0,0,0,21198
226,0,0,1,0,0,0,21199
227,1,0,0,0,0,0,21200
228,0,1,0,0,0,0,21201
229,0,1,0,0,0,0,21202
230,0,0,1,0,0,0,21203
231,1,0,0,0,0,0,21204
232,1,0,0,0,0,0,21205
233,0,0,1,0,0,0,21206
234,0,1,0,0,0,0,21207
235,0,1,0,0,0,0,21208
236,0,1,0,0,0,0,21209
237,0,0,0,0,1,0,21210
238,1,0,0,0,0,0,21211
239,0,1,0,0,0,0,21212
240,0,0,1,0,0,0,21213
241,0,0,1,0,0,0,21214
242,0,1,0,0,0,0,21215
243,1,0,0,0,0,0,21216
244,1,0,0,0,0,0,21217
245,1,0,0,0,0,0,21218
246,1,0,0,0,0,0,21219
247,0,0,1,0,0,0,21220
248,1,0,0,0,0,0,21221
249,0,1,0,0,0,0,21222
250,1,0,0,0,0,0,21223
251,1,0,0,0,0,0,21224
252,0,0,1,0,0,0,21225
253,0,0,1,0,0,0,21226
254,0,1,0,0,0,0,21227
255,1,0,0,0,0,0,21228
256,0,0,1,0,0,0,21229
257,0,0,1,0,0,0,21230
258,1,0,0,0,0,0,21231
259,1,0,0,0,0,0,21232
260,0,1,0,0,0,0,21233
261,1,0,0,0,0,0,21234
262,1,0,0,0,0,0,21235
263,0,0,1,0,0,0,21236
264,1,0,0,0,0,0,21237
265,1,0,0,0,0,0,21238
266,0,0,1,0,0,0,21239
267,0,1,0,0,0,0,21240
268,0,0,1,0,0,0,21241
269,0,0,1,0,0,0,21242
270,1,0,0,0,0,0,21243
271,0,1,0,0,0,0,21244
272,0,1,0,0,0,0,21245
273,0,0,1,0,0,0,21246
274,0,1,0,0,0,0,21247
275,1,0,0,0,0,0,21248
276,1,0,0,0,0,0,21249
277,1,0,0,0,0,0,21250
278,1,0,0,0,0,0,21251
279,1,0,0,0,0,0,21252
280,1,0,0,0,0,0,21253
281,1,0,0,0,0,0,21254
282,0,1,0,0,0,0,21255
283,1,0,0,0,0,0,21256
284,1,0,0,0,0,0,21257
285,0,1,0,0,0,0,21258
286,0,0,1,0,0,0,21259
287,0,0,1,0,0,0,21260
288,0,1,0,0,0,0,21261
289,0,1,0,0,0,0,21262
290,0,0,1,0,0,0,21263
291,0,1,0,0,0,0,21264
292,0,1,0,0,0,0,21265
293,1,0,0,0,0,0,21266
294,1,0,0,0,0,0,21267
295,0,0,1,0,0,0,21268
296,0,0,1,0,0,0,21269
297,1,0,0,0,0,0,21270
298,1,0,0,0,0,0,21271
299,1,0,0,0,0,0,21272
300,1,0,0,0,0,0,21273
301,0,0,1,0,0,0,21274
302,0,1,0,0,0,0,21275
303,1,0,0,0,0,0,21276
304,0,0,1,0,0,0,21277
305,1,0,0,0,0,0,21278
306,1,0,0,0,0,0,21279
307,0,0,1,0,0,0,21280
308,1,0,0,0,0,0,21281
309,1,0,0,0,0,0,21282
310,0,0,1,0,0,0,21283
311,0,0,1,0,0,0,21284
312,0,1,0,0,0,0,21285
313,0,0,1,0,0,0,21286
314,0,1,0,0,0,0,21287
315,0,1,0,0,0,0,21288
316,1,0,0,0,0,0,21289
317,0,1,0,0,0,0,21290
318,0,0,1,0,0,0,21291
319,0,0,1,0,0,0,21292
320,1,0,0,0,0,0,21293
321,0,1,0,0,0,0,21294
322,1,0,0,0,0,0,21295
323,0,1,0,0,0,0,21296
324,0,0,1,0,0,0,21297
325,0,1,0,0,0,0,21298
326,0,1,0,0,0,0,21299
327,0,1,0,0,0,0,21300
328,1,0,0,0,0,0,21301
329,0,0,1,0,0,0,21302
330,0,1,0,0,0,0,21303
331,1,0,0,0,0,0,21304
332,0,0,1,0,0,0,21305
333,0,0,1,0,0,0,21306
334,0,0,0,0,1,0,21307
335,1,0,0,0,0,0,21308
336,1,0,0,0,0,0,21309
337,1,0,0,0,0,0,21310
338,0,0,1,0,0,0,21311
339,0,1,0,0,0,0,21312
340,1,0,0,0,0,0,21313
341,0,1,0,0,0,0,21314
342,0,0,0,1,0,0,21315
343,0,0,1,0,0,0,21316
344,1,0,0,0,0,0,21317
345,1,0,0,0,0,0,21318
346,1,0,0,0,0,0,21319
347,1,0,0,0,0,0,21320
348,1,0,0,0,0,0,21321
349,1,0,0,0,0,0,21322
350,1,0,0,0,0,0,21323
351,1,0,0,0,0,0,21324
352,1,0,0,0,0,0,21325
353,0,1,0,0,0,0,21326
354,1,0,0,0,0,0,21327
355,0,0,1,0,0,0,21328
356,0,0,1,0,0,0,21329
357,1,0,0,0,0,0,21330
358,0,1,0,0,0,0,21331
359,0,1,0,0,0,0,21332
360,1,0,0,0,0,0,21333
361,0,1,0,0,0,0,21334
362,1,0,0,0,0,0,21335
363,1,0,0,0,0,0,21336
364,1,0,0,0,0,0,21337
365,1,0,0,0,0,0,21338
366,1,0,0,0,0,0,21339
367,0,0,1,0,0,0,21340
